ïîïiî‘çÜÅ@,çÏã∆èáèò,çÏã∆ÇhÇc
100,4,1
101,1,2
102,2,1
200,54,1
201,3,2
202,5,1
203,6,1
204,7,1
205,8,1
206,9,1
207,10,1
208,11,1
209,12,1
210,13,1
211,14,1
212,15,1
213,16,1
214,17,1
215,18,1
216,19,1
300,23,1
301,20,2
302,21,1
400,53,1
401,22,2
402,24,1
403,25,1
404,26,1
405,27,1
406,28,1
407,29,1
408,30,1
409,31,1
410,32,1
411,33,1
412,34,1
413,35,1
414,36,1
415,37,1
416,38,1
500,45,2
501,39,2
502,40,1
503,41,1
504,42,1
600,46,1
601,43,2
602,44,1
700,52,2
702,47,1
703,48,1
704,49,1
705,50,1
706,51,1
800,75,2
900,59,1
901,56,1
902,55,2
903,57,1
1000,76,1
1001,58,2
1002,60,1
1003,61,1
1004,62,1
1005,63,1
1006,64,1
1007,65,1
1008,66,1
1009,67,1
1010,68,1
1011,69,1
1012,70,1
1013,71,1
1014,72,1
1015,73,1
1016,74,1
1100,77,2
1200,90,2
1201,78,1
1202,79,1
1203,80,1
1204,81,1
1205,82,1
1206,83,1
1207,84,1
1208,85,1
1300,91,1
1301,86,2
1302,87,1
1400,92,1
1401,88,2
1402,89,1
1500,107,2
1501,93,1
1502,94,1
1503,95,1
1504,96,1
1505,97,1
1506,98,1
1507,99,1
1508,100,1
1509,101,1
1510,102,1
1511,103,1
1512,104,1
1513,105,1
1514,106,1
