親部品,	子部品,	部品数
100,101,	1
100,102,	1
200,100,	1
200,201,	1
200,202,	1
200,203,	1
200,204,	1
200,205,	1
200,206,	1
200,207,	1
200,208,	1
200,209,	1
200,210,	1
200,211,	1
200,212,	1
200,213,	1
200,214,	1
200,215,	1
200,216,	1
300,301,	1
300,302,	1
400,300,	1
400,401,	1
400,402,	1
400,403,	1
400,404,	1
400,405,	1
400,406,	1
400,407,	1
400,408,	1
400,409,	1
400,410,	1
400,411,	1
400,412,	1
400,413,	1
400,414,	1
400,415,	1
400,416,	1
500,501,	1
500,502,	1
500,503,	1
500,504,	1
600,601,	1
600,602,	1
700,500,	1
700,600,	1
700,702,	1
700,703,	1
700,704,	1
700,705,	1
700,706,	1
800,200,	1
800,400,	1
800,700,	1
900,901,	1
900,902,	1
900,903,	1
1000,900,	1
1000,1001,	1
1000,1002,	1
1000,1003,	1
1000,1004,	1
1000,1005,	1
1000,1006,	1
1000,1007,	1
1000,1008,	1
1000,1009,	1
1000,1010,	1
1000,1011,	1
1000,1012,	1
1000,1013,	1
1000,1014,	1
1000,1015,	1
1000,1016,	1
1100,800,	1
1100,1000,	1
1200,1100,	1
1200,1201,	1
1200,1202,	1
1200,1203,	1
1200,1204,	1
1200,1205,	1
1200,1206,	1
1200,1207,	1
1200,1208,	1
1300,1301,	1
1300,1302,	1
1400,1401,	1
1400,1402,	1
1500,1200,	1
1500,1300,	1
1500,1400,	1
1500,1501,	1
1500,1502,	1
1500,1503,	1
1500,1504,	1
1500,1505,	1
1500,1506,	1
1500,1507,	1
1500,1508,	1
1500,1509,	1
1500,1510,	1
1500,1511,	1
1500,1512,	1
1500,1513,	1
1500,1514,	1
